"WindowBuilder Pro","Empty command","Shift+Ctrl+A","WindowBuilder Java scope"
"Text Editing","Insert Register","Ctrl+X R G","Editing Text"
"Search","Open Search Dialog","Ctrl+H S","In Windows"
"Source","Format","Esc Ctrl+F","Editing Ant Buildfiles"
"Text Editing","Query Replace Regexp","Ctrl+Alt+%","Editing Text"
"Text Editing","Universal Argument","Ctrl+U","Editing Text"
"Navigate","Backward History","Ctrl+X Left","In Windows"
"Text Editing","Forward Character","Shift+Ctrl+F","Editing Text"
"Edit","Add Maven Dependency","Shift+Ctrl+D","Editing XML Source"
"Edit","Add Block Comment","Shift+Ctrl+/","Editing in Structured Text Editors"
"Search","References in Workspace","Shift+Ctrl+G","In Windows"
"Text Editing","Page Down","Ctrl+V","Editing Text"
"Text Editing","Delete Horizontal Space","Alt+\","Editing Text"
"Text Editing","Kbd Macro End","Ctrl+X )","Editing Text"
"Run/Debug","Step Into","F5","Debugging"
"Navigate","Open Resource","Shift+Ctrl+R","In Windows"
"Edit","Restore Last Selection","Shift+Alt+Down","Editing in Structured Text Editors"
"Navigate","Show In...","Shift+Alt+W","In Windows"
"Window","Activate Editor","F12","In Windows"
"WindowBuilder Pro","Switch between Source/Design Views","F12","Editing Text"
"Views","Show View (Search)","Shift+Alt+Q S","In Windows"
"Text Editing","Forward Word","Esc F","Editing Text"
"Text Editing","Begin Buffer","Ctrl+Home","Editing Text"
"Text Editing","Cut to Beginning of Line","Esc 0 Ctrl+K","Editing Text"
"Text Editing","Keyboard Quit","Ctrl+G","Editing Text"
"Run/Debug","New Rendering","Ctrl+N","In Memory View"
"Source","Organize Imports","Shift+Ctrl+O","In Windows"
"gazonk.del","Delete Next Word","Esc D","In Console View"
"Text Editing","Split Window Horizontally","Ctrl+X 2","In Windows"
"Text Editing","Next Line","Shift+Ctrl+N","Editing Text"
"Text Editing","Delete Next Word","Alt+D","Editing Text"
"Navigate","Previous Page","Shift+Alt+F7","In Windows"
"Text Editing","Apply Macro To Region Lines","Ctrl+X Ctrl+K R","Editing Text"
"Source","Toggle Comment","Shift+Ctrl+C","Editing Properties Files"
"Task","Mark Task Unread","Shift+Alt+U","In Tasks Editor"
"Text Editing","Describe Key Briefly","Ctrl+H C","Editing Text"
"Text Editing","Delete Line","Ctrl+D","Editing Text"
"Navigate","Quick Outline","Ctrl+O","Editing in Structured Text Editors"
"Source","Quick Assist - Assign to local variable","Ctrl+2 L","Editing Java Source"
"Source","Toggle Comment","Esc Ctrl+C","Editing Java Source"
"Run/Debug","Resume","F8","Debugging"
"File","Save All","Shift+Ctrl+S","In Windows"
"Run/Debug","Previous Page of Memory","Shift+Ctrl+,","In Table Memory Rendering"
"Text Editing","Universal Argument","Ctrl+Alt+1","Editing Text"
"Edit","Content Assist","Alt+/","In Dialogs and Windows"
"Views","Show View (Cheat Sheets)","Shift+Alt+Q H","In Windows"
"File","New menu","Shift+Alt+N","In Windows"
"Text Editing","End Buffer","Ctrl+End","Editing Text"
"Text Editing","Previous Line","Shift+Ctrl+P","Editing Text"
"Text Editing","Backward Paragraph","Ctrl+Alt+P","Editing Text"
"Text Editing","Search in Project","Alt+S","Editing Text"
"Edit","Toggle Insert Mode","Shift+Ctrl+Insert","Editing Text"
"Text Editing","Previous Line","Shift+Up","Editing Text"
"Run/Debug","Step Return","F7","Debugging"
"Window","Previous Perspective","Shift+Ctrl+F8","In Windows"
"Source","Quick Assist - Assign to field","Ctrl+2 F","Editing Java Source"
"Text Editing","Universal Argument","Alt+2","Editing Text"
"Run/Debug","Next Memory Monitor","Ctrl+Alt+N","In Memory View"
"Task Editor","Submit Task","Shift+Alt+S","In Tasks Editor"
"Edit","Find Previous","Shift+Ctrl+K","Editing Text"
"Text Editing","Begin Line","Shift+Home","Editing Text"
"Task","Mark Task Read","Shift+Alt+R","In Tasks View"
"Edit","Undo","Shift+Ctrl+-","In Windows"
"Text Editing","Undo+","Shift+Ctrl+-","Editing Text"
"Git","Ignore","Ctrl+Alt+I","In Windows"
"Text Editing","Line Down","Ctrl+N","Editing Text"
"Text Editing","Recenter Top Bottom","Ctrl+L","In Windows"
"Text Editing","Indent Rigidly","Ctrl+X Tab","Editing Text"
"Text Editing","Universal Argument","Ctrl+Alt+6","Editing Text"
"Text Editing","Name Last Kbd Macro","Ctrl+X Ctrl+K N","Editing Text"
"Text Editing","Line Start","Home","Editing Text"
"Text Editing","Select Previous Word","Shift+Ctrl+Left","Editing Text"
"Text Editing","Universal Argument","Ctrl+Alt+9","Editing Text"
"Text Editing","Jump to Register","Ctrl+X R J","Editing Text"
"Run/Debug","EOF","Ctrl+D","In I/O Console"
"Text Editing","Query Replace","Shift+Alt+5","Editing Text"
"Text Editing","Text End","Ctrl+End","Editing Text"
"Text Editing","Kill Rectangle","Ctrl+X R K","Editing Text"
"Text Editing","Just One Space","Alt+Space","Editing Text"
"Edit","Backward Sexp","Ctrl+Alt+B","Editing Text"
"Edit","Context Information","Alt+?","In Windows"
"Text Editing","Delete Previous Word","Ctrl+Backspace","Editing Text"
"Text Editing","Copy Rectangle To Register","Ctrl+X R R","Editing Text"
"Views","Show View (Javadoc)","Shift+Alt+Q J","In Windows"
"Edit","Transpose Sexps","Ctrl+Alt+T","Editing Text"
"Run/Debug","Next Page of Memory","Shift+Ctrl+.","In Table Memory Rendering"
"Text Editing","Text Start","Shift+Alt+<","Editing Text"
"Text Editing","End Buffer Other Window","Alt+End","Editing Text"
"Text Editing","Backward Up List","Ctrl+Alt+U","Editing Text"
"Text Editing","Backward Character","Left","Editing Text"
"Navigate","Backward History","Alt+Left","In Windows"
"Run/Debug","Run Java Application","Shift+Alt+X J","In Windows"
"Text Editing","Append Next Kill","Ctrl+Alt+W","Editing Text"
"Text Editing","Forward Paragraph","Ctrl+Alt+N","Editing Text"
"Text Editing","End Buffer","Esc >","Editing Text"
"Navigate","Quick Outline","Ctrl+]","Editing Java Source"
"Edit","Forward Sexp","Ctrl+Alt+F","Editing Text"
"Text Editing","Zap to Char","Esc Z","In Windows"
"Text Editing","Scroll Line Up","Alt+Z","Editing Text"
"Text Editing","Delete Indentation","Shift+Alt+6","Editing Text"
"Text Editing","Comment Previous","Alt+P","Editing Java Source"
"Text Editing","Insert Line Above Current Line","Ctrl+O","Editing Text"
"Text Editing","Switch to Buffer","Ctrl+X B","In Windows"
"Navigate","Open Declaration","Esc .","Editing Java Source"
"Text Editing","Point to Register","Ctrl+X R Space","Editing Text"
"Text Editing","Split Window Vertically","Ctrl+X 3","In Windows"
"Navigate","Go to Line","Ctrl+L","Editing Text"
"File","Save","Ctrl+X Ctrl+S","In Windows"
"Task","Mark Task Read and Go To Previous Unread Task","Shift+Alt+Up","In Tasks View"
"Navigate","Show In Breadcrumb","Shift+Alt+B","Editing Java Source"
"Text Editing","Universal Argument","Ctrl+Alt+0","Editing Text"
"Edit","Context Information","Shift+Alt+?","In Windows"
"Git","Paste Repository Path","Ctrl+V","In Git Repositories View"
"Edit","Undo","Ctrl+X U","In Windows"
"Text Editing","Universal Argument","Alt+7","Editing Text"
"Focused UI","Show Context Quick View","Shift+Ctrl+Alt+Right","In Windows"
"Navigate","Go to Matching Bracket","Shift+Ctrl+P","Editing Java Source"
"File","Close","Ctrl+W","In Windows"
"Source","Show Source Quick Menu","Shift+Alt+S","In Windows"
"Edit","Word Completion","Alt+/","Editing Text"
"Window","Quick Access","Ctrl+3","In Windows"
"Text Editing","Delete Previous Word","Esc Backspace","Editing Text"
"Text Editing","Backward Word","Esc B","Editing Text"
"Text Editing","Text Start","Ctrl+Home","Editing Text"
"Text Editing","Indent For Comment","Ctrl+;","Editing Java Source"
"Text Editing","To Lower Case","Shift+Ctrl+Y","Editing Text"
